Etiquette,Presentation (FR)
CONJ.INTERJ.PRON_3P,"conjonction (proclitique) + interjection + pronom personnel, 3e pers. pl."
CONJ.INTERROG_PART,conjonction (proclitique) + particule interrogative
CONJ.INTERROG_PART.FUT_PART.IV1P.IMPERFECT_VERB.IVSUFF_SUBJ:P,"conjonction (proclitique) + particule interrogative + particule du futur + marqueur de personne à l'inaccompli, 1re pers. pl. + verbe à l'inaccompli (imperfectif) + suffixe sujet du verbe à l'inaccompli (pl.)"
CONJ.INTERROG_PART.PRON_2FS,"conjonction (proclitique) + particule interrogative + pronom personnel, 2e pers. fém. sg."
CONJ.INTERROG_PART.PRON_2S,"conjonction (proclitique) + particule interrogative + pronom personnel, 2e pers. sg."
CONJ.INTERROG_PART.PRON_3FS,"conjonction (proclitique) + particule interrogative + pronom personnel, 3e pers. fém. sg."
CONJ.IV1P.IMPERFECT_VERB.IVSUFF_SUBJ:P,"conjonction (proclitique) + marqueur de personne à l'inaccompli, 1re pers. pl. + verbe à l'inaccompli (imperfectif) + suffixe sujet du verbe à l'inaccompli (pl.)"
CONJ.IV1P.IMPERFECT_VERB.IVSUFF_SUBJ:P.IVSUFF_DO:3P,"conjonction (proclitique) + marqueur de personne à l'inaccompli, 1re pers. pl. + verbe à l'inaccompli (imperfectif) + suffixe sujet du verbe à l'inaccompli (pl.) + suffixe clitique objet direct sur le verbe à l'inaccompli (3e pers. pl.)"
CONJ.IV1S.IMPERFECT_VERB.IVSUFF_SUBJ,"conjonction (proclitique) + marqueur de personne à l'inaccompli, 1re pers. sg. + verbe à l'inaccompli (imperfectif) + suffixe sujet du verbe à l'inaccompli"
CONJ.IV1S.IMPERFECT_VERB.IVSUFF_SUBJ.IVSUFF_DO:2MP,"conjonction (proclitique) + marqueur de personne à l'inaccompli, 1re pers. sg. + verbe à l'inaccompli (imperfectif) + suffixe sujet du verbe à l'inaccompli + suffixe clitique objet direct sur le verbe à l'inaccompli (2e pers. masc. pl.)"
CONJ.IV1S.IMPERFECT_VERB.IVSUFF_SUBJ.IVSUFF_DO:2S,"conjonction (proclitique) + marqueur de personne à l'inaccompli, 1re pers. sg. + verbe à l'inaccompli (imperfectif) + suffixe sujet du verbe à l'inaccompli + suffixe clitique objet direct sur le verbe à l'inaccompli (2e pers. sg.)"
CONJ.IV1S.IMPERFECT_VERB.IVSUFF_SUBJ.IVSUFF_DO:3FS,"conjonction (proclitique) + marqueur de personne à l'inaccompli, 1re pers. sg. + verbe à l'inaccompli (imperfectif) + suffixe sujet du verbe à l'inaccompli + suffixe clitique objet direct sur le verbe à l'inaccompli (3e pers. fém. sg.)"
CONJ.IV1S.IMPERFECT_VERB.IVSUFF_SUBJ.IVSUFF_DO:3MP,"conjonction (proclitique) + marqueur de personne à l'inaccompli, 1re pers. sg. + verbe à l'inaccompli (imperfectif) + suffixe sujet du verbe à l'inaccompli + suffixe clitique objet direct sur le verbe à l'inaccompli (3e pers. masc. pl.)"
CONJ.IV1S.IMPERFECT_VERB.IVSUFF_SUBJ.IVSUFF_DO:3MS,"conjonction (proclitique) + marqueur de personne à l'inaccompli, 1re pers. sg. + verbe à l'inaccompli (imperfectif) + suffixe sujet du verbe à l'inaccompli + suffixe clitique objet direct sur le verbe à l'inaccompli (3e pers. masc. sg.)"
CONJ.IV1S.IMPERFECT_VERB.IVSUFF_SUBJ.PVSUFF_DO:3MS,"conjonction (proclitique) + marqueur de personne à l'inaccompli, 1re pers. sg. + verbe à l'inaccompli (imperfectif) + suffixe sujet du verbe à l'inaccompli + suffixe clitique objet direct sur le verbe à l'accompli (3e pers. masc. sg.)"
CONJ.IV1S.IMPERFECT_VERB.IVSUFF_SUBJ.Prep.PRON_2S,"conjonction (proclitique) + marqueur de personne à l'inaccompli, 1re pers. sg. + verbe à l'inaccompli (imperfectif) + suffixe sujet du verbe à l'inaccompli + préposition [variante de casse] + pronom personnel, 2e pers. sg."
CONJ.IV1S.IMPERFECT_VERB_MSA.IVSUFF_SUBJ,"conjonction (proclitique) + marqueur de personne à l'inaccompli, 1re pers. sg. + verbe à l'inaccompli (arabe standard, MSA) + suffixe sujet du verbe à l'inaccompli"
CONJ.IV1S.V-foreign.IVSUFF_SUBJ,"conjonction (proclitique) + marqueur de personne à l'inaccompli, 1re pers. sg. + verbe conjugué d'origine étrangère + suffixe sujet du verbe à l'inaccompli"
CONJ.IV2FS.IMPERFECT_VERB.IVSUFF_SUBJ:2FS.IVSUFF_DO:1S,"conjonction (proclitique) + marqueur de personne à l'inaccompli, 2e pers. fém. sg. + verbe à l'inaccompli (imperfectif) + suffixe sujet du verbe à l'inaccompli (2e pers. fém. sg.) + suffixe clitique objet direct sur le verbe à l'inaccompli (1re pers. sg.)"
CONJ.IV2FS.IMPERFECT_VERB.IVSUFF_SUBJ:2FS.IVSUFF_DO:3MS,"conjonction (proclitique) + marqueur de personne à l'inaccompli, 2e pers. fém. sg. + verbe à l'inaccompli (imperfectif) + suffixe sujet du verbe à l'inaccompli (2e pers. fém. sg.) + suffixe clitique objet direct sur le verbe à l'inaccompli (3e pers. masc. sg.)"
CONJ.IV2P.IMPERFECT_VERB.IVSUFF_SUBJ:P,"conjonction (proclitique) + marqueur de personne à l'inaccompli, 2e pers. pl. + verbe à l'inaccompli (imperfectif) + suffixe sujet du verbe à l'inaccompli (pl.)"
CONJ.IV2P.IMPERFECT_VERB.IVSUFF_SUBJ:P.IVSUFF_DO:3FS,"conjonction (proclitique) + marqueur de personne à l'inaccompli, 2e pers. pl. + verbe à l'inaccompli (imperfectif) + suffixe sujet du verbe à l'inaccompli (pl.) + suffixe clitique objet direct sur le verbe à l'inaccompli (3e pers. fém. sg.)"
CONJ.IV2S.IMPERFECT_VERB.IVSUFF_SUBJ,"conjonction (proclitique) + marqueur de personne à l'inaccompli, 2e pers. sg. + verbe à l'inaccompli (imperfectif) + suffixe sujet du verbe à l'inaccompli"
CONJ.IV2S.IMPERFECT_VERB_MSA.IVSUFF_SUBJ,"conjonction (proclitique) + marqueur de personne à l'inaccompli, 2e pers. sg. + verbe à l'inaccompli (arabe standard, MSA) + suffixe sujet du verbe à l'inaccompli"
CONJ.IV3FS.IMPERFECT_VERB.IVSUFF_SUBJ,"conjonction (proclitique) + marqueur de personne à l'inaccompli, 3e pers. fém. sg. + verbe à l'inaccompli (imperfectif) + suffixe sujet du verbe à l'inaccompli"
CONJ.IV3FS.IMPERFECT_VERB.IVSUFF_SUBJ.IVSUFF_DO:1S,"conjonction (proclitique) + marqueur de personne à l'inaccompli, 3e pers. fém. sg. + verbe à l'inaccompli (imperfectif) + suffixe sujet du verbe à l'inaccompli + suffixe clitique objet direct sur le verbe à l'inaccompli (1re pers. sg.)"
CONJ.IV3FS.IMPERFECT_VERB.IVSUFF_SUBJ.Prep.PRON_1S,"conjonction (proclitique) + marqueur de personne à l'inaccompli, 3e pers. fém. sg. + verbe à l'inaccompli (imperfectif) + suffixe sujet du verbe à l'inaccompli + préposition [variante de casse] + pronom personnel, 1re pers. sg."
CONJ.IV3FS.IMPERFECT_VERB_MSA.IVSUFF_SUBJ,"conjonction (proclitique) + marqueur de personne à l'inaccompli, 3e pers. fém. sg. + verbe à l'inaccompli (arabe standard, MSA) + suffixe sujet du verbe à l'inaccompli"
CONJ.IV3MS.IMPERFECT_VERB.IVSUFF_SUBJ,"conjonction (proclitique) + marqueur de personne à l'inaccompli, 3e pers. masc. sg. + verbe à l'inaccompli (imperfectif) + suffixe sujet du verbe à l'inaccompli"
CONJ.IV3MS.IMPERFECT_VERB.IVSUFF_SUBJ.IVSUFF_DO:1S,"conjonction (proclitique) + marqueur de personne à l'inaccompli, 3e pers. masc. sg. + verbe à l'inaccompli (imperfectif) + suffixe sujet du verbe à l'inaccompli + suffixe clitique objet direct sur le verbe à l'inaccompli (1re pers. sg.)"
CONJ.IV3MS.IMPERFECT_VERB.IVSUFF_SUBJ.IVSUFF_DO:2S,"conjonction (proclitique) + marqueur de personne à l'inaccompli, 3e pers. masc. sg. + verbe à l'inaccompli (imperfectif) + suffixe sujet du verbe à l'inaccompli + suffixe clitique objet direct sur le verbe à l'inaccompli (2e pers. sg.)"
CONJ.IV3MS.IMPERFECT_VERB.IVSUFF_SUBJ.IVSUFF_DO:3FS,"conjonction (proclitique) + marqueur de personne à l'inaccompli, 3e pers. masc. sg. + verbe à l'inaccompli (imperfectif) + suffixe sujet du verbe à l'inaccompli + suffixe clitique objet direct sur le verbe à l'inaccompli (3e pers. fém. sg.)"
CONJ.IV3MS.IMPERFECT_VERB.IVSUFF_SUBJ.IVSUFF_DO:3MS,"conjonction (proclitique) + marqueur de personne à l'inaccompli, 3e pers. masc. sg. + verbe à l'inaccompli (imperfectif) + suffixe sujet du verbe à l'inaccompli + suffixe clitique objet direct sur le verbe à l'inaccompli (3e pers. masc. sg.)"
CONJ.IV3MS.IV-foreign.IVSUFF_SUBJ,"conjonction (proclitique) + marqueur de personne à l'inaccompli, 3e pers. masc. sg. + marqueur de personne à l'inaccompli, verbe d'origine étrangère + suffixe sujet du verbe à l'inaccompli"
CONJ.IV3P.IMPERFECT_VERB.IVSUFF_SUBJ:P,"conjonction (proclitique) + marqueur de personne à l'inaccompli, 3e pers. pl. + verbe à l'inaccompli (imperfectif) + suffixe sujet du verbe à l'inaccompli (pl.)"
CONJ.IV3P.IMPERFECT_VERB.IVSUFF_SUBJ:P.IVSUFF_DO:2MS,"conjonction (proclitique) + marqueur de personne à l'inaccompli, 3e pers. pl. + verbe à l'inaccompli (imperfectif) + suffixe sujet du verbe à l'inaccompli (pl.) + suffixe clitique objet direct sur le verbe à l'inaccompli (2e pers. masc. sg.)"
CONJ.IV3P.IMPERFECT_VERB.IVSUFF_SUBJ:P.IVSUFF_DO:3FS,"conjonction (proclitique) + marqueur de personne à l'inaccompli, 3e pers. pl. + verbe à l'inaccompli (imperfectif) + suffixe sujet du verbe à l'inaccompli (pl.) + suffixe clitique objet direct sur le verbe à l'inaccompli (3e pers. fém. sg.)"
CONJ.NEG.ADJ.IVSUFF_SUBJ.IVSUFF_DO:1P.NEG,conjonction (proclitique) + marque de négation + adjectif + suffixe sujet du verbe à l'inaccompli + suffixe clitique objet direct sur le verbe à l'inaccompli (1re pers. pl.) + marque de négation
CONJ.NEG.ADJ.IVSUFF_SUBJ.NEG,conjonction (proclitique) + marque de négation + adjectif + suffixe sujet du verbe à l'inaccompli + marque de négation
CONJ.NEG.ADJ.NSUFF_FEM_SG.NEG,conjonction (proclitique) + marque de négation + adjectif + suffixe nominal féminin singulier + marque de négation
CONJ.NEG.ADV.PRON_3FS,"conjonction (proclitique) + marque de négation + adverbe + pronom personnel, 3e pers. fém. sg."
CONJ.NEG.FUT_PART.IV2.IMPERFECT_VERB.IVSUFF_SUBJ.IVSUFF_DO:3FS.NEG,"conjonction (proclitique) + marque de négation + particule du futur + marqueur de personne à l'inaccompli, 2e pers. + verbe à l'inaccompli (imperfectif) + suffixe sujet du verbe à l'inaccompli + suffixe clitique objet direct sur le verbe à l'inaccompli (3e pers. fém. sg.) + marque de négation"
CONJ.NEG.IMPERATIVE_VERB.CVSUFF_SUBJ:2MS,conjonction (proclitique) + marque de négation + verbe à l'impératif + suffixe sujet du verbe à l'impératif (2e pers. masc. sg.)
CONJ.NEG.IMPERFECT_VERB.IVSUFF_SUBJ.NEG,conjonction (proclitique) + marque de négation + verbe à l'inaccompli (imperfectif) + suffixe sujet du verbe à l'inaccompli + marque de négation
CONJ.NEG.IV1P.IMPERFECT_VERB.IVSUFF_SUBJ:P.NEG,"conjonction (proclitique) + marque de négation + marqueur de personne à l'inaccompli, 1re pers. pl. + verbe à l'inaccompli (imperfectif) + suffixe sujet du verbe à l'inaccompli (pl.) + marque de négation"
CONJ.NEG.IV1S.IMPERFECT_VERB.IVSUFF_SUBJ,"conjonction (proclitique) + marque de négation + marqueur de personne à l'inaccompli, 1re pers. sg. + verbe à l'inaccompli (imperfectif) + suffixe sujet du verbe à l'inaccompli"
CONJ.NEG.IV1S.IMPERFECT_VERB.IVSUFF_SUBJ.IVSUFF_DO:3MP.NEG,"conjonction (proclitique) + marque de négation + marqueur de personne à l'inaccompli, 1re pers. sg. + verbe à l'inaccompli (imperfectif) + suffixe sujet du verbe à l'inaccompli + suffixe clitique objet direct sur le verbe à l'inaccompli (3e pers. masc. pl.) + marque de négation"
CONJ.NEG.IV1S.IMPERFECT_VERB.IVSUFF_SUBJ.NEG,"conjonction (proclitique) + marque de négation + marqueur de personne à l'inaccompli, 1re pers. sg. + verbe à l'inaccompli (imperfectif) + suffixe sujet du verbe à l'inaccompli + marque de négation"
CONJ.NEG.IV2FS.IMPERFECT_VERB.IVSUFF_SUBJ:2FS.NEG,"conjonction (proclitique) + marque de négation + marqueur de personne à l'inaccompli, 2e pers. fém. sg. + verbe à l'inaccompli (imperfectif) + suffixe sujet du verbe à l'inaccompli (2e pers. fém. sg.) + marque de négation"
CONJ.NEG.IV2P.IMPERFECT_VERB.IVSUFF_SUBJ:P.NEG,"conjonction (proclitique) + marque de négation + marqueur de personne à l'inaccompli, 2e pers. pl. + verbe à l'inaccompli (imperfectif) + suffixe sujet du verbe à l'inaccompli (pl.) + marque de négation"
CONJ.NEG.IV3FS.IMPERFECT_VERB.IVSUFF_SUBJ.NEG,"conjonction (proclitique) + marque de négation + marqueur de personne à l'inaccompli, 3e pers. fém. sg. + verbe à l'inaccompli (imperfectif) + suffixe sujet du verbe à l'inaccompli + marque de négation"
CONJ.NEG.IV3MS.IMPERFECT_VERB.IVSUFF_SUBJ.IVSUFF_DO:3MS.NEG,"conjonction (proclitique) + marque de négation + marqueur de personne à l'inaccompli, 3e pers. masc. sg. + verbe à l'inaccompli (imperfectif) + suffixe sujet du verbe à l'inaccompli + suffixe clitique objet direct sur le verbe à l'inaccompli (3e pers. masc. sg.) + marque de négation"
CONJ.NEG.IV3P.IMPERFECT_VERB.IVSUFF_SUBJ:P.NEG,"conjonction (proclitique) + marque de négation + marqueur de personne à l'inaccompli, 3e pers. pl. + verbe à l'inaccompli (imperfectif) + suffixe sujet du verbe à l'inaccompli (pl.) + marque de négation"
CONJ.NEG.NOUN.NSUFF_MASC_PL.NEG,conjonction (proclitique) + marque de négation + nom + suffixe nominal masculin pluriel + marque de négation
CONJ.NEG.PERFECT_VERB-MSA.PVSUFF_SUBJ:1S.NEG,"conjonction (proclitique) + marque de négation + verbe à l'accompli (arabe standard, MSA) + suffixe sujet du verbe à l'accompli (1re pers. sg.) + marque de négation"
CONJ.NEG.PERFECT_VERB.PVSUFF_SUBJ:1P,conjonction (proclitique) + marque de négation + verbe à l'accompli (perfectif) + suffixe sujet du verbe à l'accompli (1re pers. pl.)
CONJ.NEG.PERFECT_VERB.PVSUFF_SUBJ:1S,conjonction (proclitique) + marque de négation + verbe à l'accompli (perfectif) + suffixe sujet du verbe à l'accompli (1re pers. sg.)
CONJ.NEG.PERFECT_VERB.PVSUFF_SUBJ:1S.NEG,conjonction (proclitique) + marque de négation + verbe à l'accompli (perfectif) + suffixe sujet du verbe à l'accompli (1re pers. sg.) + marque de négation
CONJ.NEG.PERFECT_VERB.PVSUFF_SUBJ:1S.PVSUFF_DO:3MS.NEG,conjonction (proclitique) + marque de négation + verbe à l'accompli (perfectif) + suffixe sujet du verbe à l'accompli (1re pers. sg.) + suffixe clitique objet direct sur le verbe à l'accompli (3e pers. masc. sg.) + marque de négation
CONJ.NEG.PERFECT_VERB.PVSUFF_SUBJ:2S,conjonction (proclitique) + marque de négation + verbe à l'accompli (perfectif) + suffixe sujet du verbe à l'accompli (2e pers. sg.)
CONJ.NEG.PERFECT_VERB.PVSUFF_SUBJ:3F,conjonction (proclitique) + marque de négation + verbe à l'accompli (perfectif) + suffixe sujet du verbe à l'accompli (3e pers. fém. sg.)
CONJ.NEG.PERFECT_VERB.PVSUFF_SUBJ:3F.NEG,conjonction (proclitique) + marque de négation + verbe à l'accompli (perfectif) + suffixe sujet du verbe à l'accompli (3e pers. fém. sg.) + marque de négation
CONJ.NEG.PERFECT_VERB.PVSUFF_SUBJ:3F.PVSUFF_DO:1S.NEG,conjonction (proclitique) + marque de négation + verbe à l'accompli (perfectif) + suffixe sujet du verbe à l'accompli (3e pers. fém. sg.) + suffixe clitique objet direct sur le verbe à l'accompli (1re pers. sg.) + marque de négation
CONJ.NEG.PERFECT_VERB.PVSUFF_SUBJ:3MS,conjonction (proclitique) + marque de négation + verbe à l'accompli (perfectif) + suffixe sujet du verbe à l'accompli (3e pers. masc. sg.)
CONJ.NEG.PERFECT_VERB.PVSUFF_SUBJ:3MS.NEG,conjonction (proclitique) + marque de négation + verbe à l'accompli (perfectif) + suffixe sujet du verbe à l'accompli (3e pers. masc. sg.) + marque de négation
CONJ.NEG.PERFECT_VERB.PVSUFF_SUBJ:3MS.PVSUFF_DO:1S.NEG,conjonction (proclitique) + marque de négation + verbe à l'accompli (perfectif) + suffixe sujet du verbe à l'accompli (3e pers. masc. sg.) + suffixe clitique objet direct sur le verbe à l'accompli (1re pers. sg.) + marque de négation
CONJ.NEG.PERFECT_VERB.PVSUFF_SUBJ:P.NEG,conjonction (proclitique) + marque de négation + verbe à l'accompli (perfectif) + suffixe sujet du verbe à l'accompli (pl.) + marque de négation
CONJ.NEG.PERFECT_VERB.PVSUFF_SUBJ:P.PVSUFF_DO:1P.NEG,conjonction (proclitique) + marque de négation + verbe à l'accompli (perfectif) + suffixe sujet du verbe à l'accompli (pl.) + suffixe clitique objet direct sur le verbe à l'accompli (1re pers. pl.) + marque de négation
CONJ.NEG.PREP.PRON_1S,"conjonction (proclitique) + marque de négation + préposition + pronom personnel, 1re pers. sg."
CONJ.NEG.PREP.PRON_3MS.NEG,"conjonction (proclitique) + marque de négation + préposition + pronom personnel, 3e pers. masc. sg. + marque de négation"
CONJ.NEG.PRG_PART.IV1S.IMPERFECT_VERB.IVSUFF_SUBJ,"conjonction (proclitique) + marque de négation + particule de progressif (aspect progressif) + marqueur de personne à l'inaccompli, 1re pers. sg. + verbe à l'inaccompli (imperfectif) + suffixe sujet du verbe à l'inaccompli"
CONJ.NEG.PRG_PART.IV1S.IMPERFECT_VERB.IVSUFF_SUBJ.NEG,"conjonction (proclitique) + marque de négation + particule de progressif (aspect progressif) + marqueur de personne à l'inaccompli, 1re pers. sg. + verbe à l'inaccompli (imperfectif) + suffixe sujet du verbe à l'inaccompli + marque de négation"
CONJ.NEG.PRG_PART.IV3FS.IMPERFECT_VERB.IVSUFF_SUBJ.IVSUFF_DO:3FS.NEG,"conjonction (proclitique) + marque de négation + particule de progressif (aspect progressif) + marqueur de personne à l'inaccompli, 3e pers. fém. sg. + verbe à l'inaccompli (imperfectif) + suffixe sujet du verbe à l'inaccompli + suffixe clitique objet direct sur le verbe à l'inaccompli (3e pers. fém. sg.) + marque de négation"
CONJ.NEG.PRG_PART.IV3FS.IMPERFECT_VERB.IVSUFF_SUBJ.IVSUFF_DO:3MS.NEG,"conjonction (proclitique) + marque de négation + particule de progressif (aspect progressif) + marqueur de personne à l'inaccompli, 3e pers. fém. sg. + verbe à l'inaccompli (imperfectif) + suffixe sujet du verbe à l'inaccompli + suffixe clitique objet direct sur le verbe à l'inaccompli (3e pers. masc. sg.) + marque de négation"
CONJ.NEG.PRG_PART.IV3MS.IMPERFECT_VERB.IVSUFF_SUBJ.IVSUFF_DO:1S.NEG,"conjonction (proclitique) + marque de négation + particule de progressif (aspect progressif) + marqueur de personne à l'inaccompli, 3e pers. masc. sg. + verbe à l'inaccompli (imperfectif) + suffixe sujet du verbe à l'inaccompli + suffixe clitique objet direct sur le verbe à l'inaccompli (1re pers. sg.) + marque de négation"
CONJ.NEG.PRG_PART.IV3MS.IMPERFECT_VERB.IVSUFF_SUBJ.NEG,"conjonction (proclitique) + marque de négation + particule de progressif (aspect progressif) + marqueur de personne à l'inaccompli, 3e pers. masc. sg. + verbe à l'inaccompli (imperfectif) + suffixe sujet du verbe à l'inaccompli + marque de négation"
CONJ.NEG_PART,conjonction (proclitique) + particule de négation
CONJ.NOUN,conjonction (proclitique) + nom
CONJ.NOUN-Foreign,conjonction (proclitique) + nom d'origine étrangère
CONJ.NOUN-Foreign.NSUFF_FEM_SG,conjonction (proclitique) + nom d'origine étrangère + suffixe nominal féminin singulier
CONJ.NOUN-Foreign.NSUFF_FEM_SG.POSS_PRON_1S,"conjonction (proclitique) + nom d'origine étrangère + suffixe nominal féminin singulier + pronom possessif, 1re pers. sg."
CONJ.NOUN-Foreign.NSUFF_FEM_SG.POSS_PRON_3MS,"conjonction (proclitique) + nom d'origine étrangère + suffixe nominal féminin singulier + pronom possessif, 3e pers. masc. sg."
CONJ.NOUN-Foreign.PRON_1S,"conjonction (proclitique) + nom d'origine étrangère + pronom personnel, 1re pers. sg."
CONJ.NOUN-MSA,"conjonction (proclitique) + nom (arabe standard, MSA)"
CONJ.NOUN-MSA.NSUFF_FEM_PL,"conjonction (proclitique) + nom (arabe standard, MSA) + suffixe nominal féminin pluriel"
CONJ.NOUN-MSA.NSUFF_FEM_SG,"conjonction (proclitique) + nom (arabe standard, MSA) + suffixe nominal féminin singulier"
CONJ.NOUN-MSA.NSUFF_FEM_SG.POSS_PRON_1S,"conjonction (proclitique) + nom (arabe standard, MSA) + suffixe nominal féminin singulier + pronom possessif, 1re pers. sg."
CONJ.NOUN-MSA.NSUFF_FEM_SG.POSS_PRON_3MP,"conjonction (proclitique) + nom (arabe standard, MSA) + suffixe nominal féminin singulier + pronom possessif, 3e pers. masc. pl."
CONJ.NOUN-MSA.NSUFF_MASC_DU,"conjonction (proclitique) + nom (arabe standard, MSA) + suffixe nominal masculin duel"
